category,year,filename,bytes,source_url
summary-of-advances,2012,summary_of_advances_2012.pdf,997294,https://iacc.hhs.gov/publications/summary-of-advances/2012/summary_of_advances_2012.pdf
summary-of-advances,2013,summary_of_advances_2013.pdf,3711023,https://iacc.hhs.gov/publications/summary-of-advances/2013/summary_of_advances_2013.pdf
summary-of-advances,2014,summary_of_advances_2014.pdf,5001089,https://iacc.hhs.gov/publications/summary-of-advances/2014/summary_of_advances_2014.pdf
summary-of-advances,2015,summary_of_advances_2015.pdf,3126336,https://iacc.hhs.gov/publications/summary-of-advances/2015/summary_of_advances_2015.pdf
summary-of-advances,2016,summary_of_advances_2016.pdf,2156635,https://iacc.hhs.gov/publications/summary-of-advances/2016/summary_of_advances_2016.pdf
summary-of-advances,2017,summary_of_advances_2017.pdf,5399885,https://iacc.hhs.gov/publications/summary-of-advances/2017/summary_of_advances_2017.pdf
summary-of-advances,2018,summary_of_advances_2018.pdf,1624093,https://iacc.hhs.gov/publications/summary-of-advances/2018/summary_of_advances_2018.pdf
summary-of-advances,2019,summary_of_advances_2019.pdf,1705378,https://iacc.hhs.gov/publications/summary-of-advances/2019/summary_of_advances_2019.pdf
summary-of-advances,2020,summary_of_advances_2020.pdf,3379557,https://iacc.hhs.gov/publications/summary-of-advances/2020/summary_of_advances_2020.pdf?ver=2
summary-of-advances,2020,summary_of_advances_2020_easy_read.pdf,425889,https://iacc.hhs.gov/publications/summary-of-advances/2020/summary_of_advances_2020_easy_read.pdf?ver=2
summary-of-advances,2021,summary_of_advances_2021.pdf,1316223,https://iacc.hhs.gov/publications/summary-of-advances/2021/summary_of_advances_2021.pdf?ver=2
summary-of-advances,2021,summary_of_advances_2021_easy_read.pdf,166502,https://iacc.hhs.gov/publications/summary-of-advances/2021/summary_of_advances_2021_easy_read.pdf
summary-of-advances,2022,summary_of_advances_2022.pdf,10816456,https://iacc.hhs.gov/publications/summary-of-advances/2022/summary_of_advances_2022.pdf?ver=4
summary-of-advances,2022,summary_of_advances_2022_easy_read.pdf,1543905,https://iacc.hhs.gov/publications/summary-of-advances/2022/summary_of_advances_2022_easy_read.pdf?ver=3
summary-of-advances,2023,summary_of_advances_2023.pdf,1596820,https://iacc.hhs.gov/publications/summary-of-advances/2023/summary_of_advances_2023.pdf?ver=2
summary-of-advances,2023,summary_of_advances_2023_easy_read.pdf,274393,https://iacc.hhs.gov/publications/summary-of-advances/2023/summary_of_advances_2023_easy_read.pdf
