doc_id,year,n_shingles,from_previous_plan,from_any_earlier_plan,from_any_earlier_publication,previous_plan_carried_forward,new_text_share
SP-2009,2009,10800,,,0.012685185185185185,,0.9873148148148149
SP-2010,2010,17060,0.40656506447831187,0.40656506447831187,0.5277842907385698,0.6424074074074074,0.4722157092614302
SP-2011,2011,38112,0.2786261544920235,0.28093513853904284,0.3106895465994962,0.536400937866354,0.6893104534005038
SP-2012,2012,19151,0.015403895357944754,0.01566497833011331,0.031121090282491777,0.00973446683459278,0.9688789097175082
SP-2013,2013,45310,0.019068638269697638,0.07382476274553079,0.4014124917236813,0.046159469479400556,0.5985875082763187
SP-2017,2017,50420,0.01124553748512495,0.015053550178500595,0.04448631495438318,0.013683513573162658,0.9555136850456168
SP-2019,2019,25998,0.0589276098161397,0.06888991460881606,0.19401492422494038,0.03851646172153907,0.8059850757750596
SP-2023,2023,62947,0.009404737318696682,0.11177657394315853,0.14655186108948798,0.01996307408262174,0.853448138910512
SP-2026-DRAFT,2026,85814,0.00017479665322674623,0.00022140909408721187,0.00029132775537791037,0.000428932276359477,0.9997086722446221
