group,term,SOA-2007,PA-2008,SOA-2008,PA-2009,RTC-2009,SP-2009,SOA-2009,PA-2010,SP-2010,SOA-2010,SP-2011,SOA-2011,PA-2012,PUBA-2012,RTC-2012,SP-2012,SOA-2012,PA-2013,SP-2013,SOA-2013,SOA-2014,PA-2015,SOA-2015,USPSTF-2016,IPA-2016,PA-2016,SOA-2016,RTC-2017,SP-2017,SOA-2017,PA-2018,RTC-2018,SOA-2018,SP-2019,SOA-2019,PA-2020,SOA-2020,RTC-2021,SOA-2021,PA-2022,RTC-2022,SOA-2022,RTC-2023,SP-2023,SOA-2023,SP-2026-DRAFT
Naming autism,person-first ('people with autism'),75.56675062972292,4.623208506703652,77.40884090446119,30.349013657056148,75.509461426492,71.95625059963542,80.8080808080808,46.10318331503842,77.69009604208723,59.49851253718657,63.633384312868685,51.10981308411215,23.49396051993156,4.3725404459991255,68.78075169375822,44.52408101210838,71.63323782234957,26.17014886953537,33.35899409802412,58.544984933275934,46.65938647870545,23.350217336638284,89.35018050541517,1.4606003067260642,13.994821915891121,18.503981159582818,104.53789498693276,76.20929329993297,62.478018908910364,35.59623696923468,19.222654601715973,76.11940298507463,71.8433225076272,65.31782698741436,80.43665613329503,14.938424542738469,71.80768029971901,61.95216967860621,75.75757575757576,14.149123183123955,53.67713454399519,29.31792705009916,42.49749788282393,19.175455417066154,29.641606036108865,2.5676138308798357
Naming autism,identity-first ('autistic people'),0.0,0.0,17.315135465471585,0.0,0.0,1.9188333493236112,0.0,0.0,0.6117330397014743,0.0,0.5462093074065982,0.0,0.25536913608621264,0.0,0.7728174347613282,1.0859531954172776,0.0,0.0,0.23327967900716168,0.0,0.9927529038022436,0.0,0.0,0.0,11.195857532712898,0.56072670180554,0.0,0.0,0.6206425719428181,0.0,1.4065357025645835,0.8528784648187633,0.0,9.558706388402102,2.154553289284688,4.007869999271296,33.30211260276824,9.739205713667353,39.82128982128982,7.288942245851735,16.303802548409752,103.47503664740881,9.084610054661637,58.68350580222832,88.0265876223839,22.008118550398592
Naming autism,'on the (autism) spectrum',0.0,0.0,5.09268690160929,0.0,2.7292576419213974,4.797083373309028,3.367003367003367,0.0,2.446932158805897,2.833262501770789,2.731046537032991,8.761682242990654,1.5322148165172758,2.429189136666181,2.5760581158710942,2.1719063908345553,0.0,2.1450941696340466,3.732474864114587,0.0,0.9927529038022436,1.436936451485433,3.6101083032490973,0.0,4.898187670561892,6.72872042166648,0.0,2.8225664185160357,10.550923723027909,3.3901178065937794,11.721130854704862,4.051172707889126,3.936620411376833,19.913971642504382,5.745475438092503,11.659258179698316,18.732438339057136,18.66681095119576,12.626262626262628,11.147794023067359,12.792214307213806,8.6229197206174,14.165832627607976,32.895824379277286,4.491152429713464,0.0
Naming autism,'autistic' (any use),6.869704602702084,0.0,24.444897127724587,2.5290844714213456,0.9097525473071325,3.8376666986472223,1.6835016835016836,1.6465422612513723,1.8351991191044228,1.4166312508853944,1.9117325759230936,7.3014018691588785,1.2768456804310633,2.429189136666181,3.091269739045313,3.800836183960471,3.5816618911174785,1.287056501780428,2.099517111064455,6.887645286267757,3.9710116152089743,1.0777023386140747,1.8050541516245486,0.0,14.694563011685675,1.68218010541662,1.5839074998020115,0.35282080231450447,2.0688085731427273,3.3901178065937794,3.281916639317361,2.55863539445629,0.9841551028442083,12.744941851202803,5.0272910083309394,4.736573635502441,56.197315017171405,10.821339681852615,45.64879564879565,9.861510097328816,20.567873984147685,131.0683797533845,13.241973977981369,72.73448606473369,142.81864726488817,24.82026703183841
Naming autism,ASD (cs),158.00320586214792,180.30513176144242,82.50152780607048,190.94587759231158,160.5713245997089,259.0425021586875,170.03367003367003,126.78375411635565,223.8942925307396,140.24649383765404,176.69871094603454,59.8714953271028,99.0832248014505,68.01729582665305,136.531080141168,125.97057066840419,183.85864374403056,105.96765197992191,123.6382298737957,178.2178217821782,190.6085575300308,98.78938103962354,194.04332129963902,2.1909004600890967,125.95339724302008,134.01368173152406,236.79417122040073,114.31393994989945,180.81386929267435,242.39342317145523,150.96816540859862,164.6055437100213,233.24475937407735,143.77887525888164,267.8827923010629,1.0930554543467172,146.73743365594754,129.85607618223136,53.41880341880342,1.2862839257385414,57.18872278519113,62.08502198844529,69.1354222803911,21.159123218831617,12.5752268031977,1.2226732527999216
Naming autism,'autism spectrum disorder(s)',16.029310739638195,23.11604253351826,34.63027093094317,10.116337885685383,42.30349344978166,4.797083373309028,28.61952861952862,7.135016465422612,4.893864317611794,19.832837512395525,3.2772558444395896,27.74532710280374,3.8305370412931894,7.773405237331779,40.186506607589074,7.058695770212304,17.908309455587393,4.719207173194904,8.631348123264983,28.4115368058545,33.753598729276284,3.5923411287135827,35.1985559566787,5.842401226904257,18.89300958645301,5.6072670180554,34.05401124574325,6.3507744416610805,4.551378860913999,28.81600135604712,6.563833278634722,17.69722814498934,23.619722468261,7.567309224151664,24.41827061189313,2.1861109086934345,24.976584452076178,9.19813872957472,24.281274281274282,3.0013291600565966,5.267382361793921,16.383547469173063,11.394256678728155,0.9918339008827323,9.880535345369623,0.12226732527999218
Naming autism,'disorder(s)',68.69704602702083,36.98566805362922,87.59421470767977,20.232675771370765,53.22052401746725,32.62016693850139,90.9090909090909,20.307354555433587,29.363185905670765,49.582093780988814,22.667686257373827,61.33177570093458,13.53456421256927,14.575134819997086,56.93088436075118,22.26204050605419,32.23495702005731,13.299583851731091,18.895653999580095,51.65733964700818,64.52893874714583,14.728598627725688,55.05415162454874,24.099905060980063,31.48834931075502,17.38252775597174,60.980438742377444,10.584624069435135,16.964230299770364,40.68141367912535,14.065357025645833,32.19616204690831,85.62149394744611,18.719133343954116,35.90922148807814,6.193980907964731,47.87178686647934,19.748944919381017,32.05128205128205,6.431419628692707,12.54138657569981,34.4916788824696,18.939102317345448,9.257116408238835,13.473457289140393,4.768425685919695
Naming autism,'condition(s)',0.0,0.0,1.0185373803218578,8.85179564997471,7.732896652110626,11.513000095941667,0.0,11.525795828759605,11.622927754328012,0.0,18.57111645182434,4.380841121495327,10.470134579534717,1.4575134819997084,4.894510420155078,8.14464896562958,4.775549188156638,8.151357844609379,15.16317913546551,8.609556607834696,3.9710116152089743,7.184682257427165,9.927797833935019,5.112101073541226,3.4987054789727803,9.53235393069418,2.3758612497030174,12.348728081007657,15.102302583941908,1.6950589032968897,14.065357025645833,8.315565031982942,19.683102056884163,19.913971642504382,2.8727377190462513,13.845369088391752,16.65105630138412,18.125743967103126,3.885003885003885,12.4340779488059,15.551319353867765,31.042510994222646,10.778350912310417,24.46523622177406,21.55753166262463,26.89881156159828
Naming autism,'profound autism',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30795288320886904,0.0,0.0,5.502029637599648
Naming autism,nonspeaking / minimally verbal,0.0,0.0,1.0185373803218578,1.2645422357106728,1.3646288209606987,1.9188333493236112,0.0,4.939626783754116,3.0586651985073714,0.0,4.642779112956085,0.0,2.042953088689701,0.0,1.0304232463484377,0.0,0.0,1.287056501780428,3.2659155061002636,6.887645286267757,2.978258711406731,1.436936451485433,0.0,0.0,0.0,0.56072670180554,7.919537499010057,1.0584624069435133,2.0688085731427273,0.8475294516484448,0.0,1.9189765458422174,6.889085719909457,1.1948382985502628,6.463659867854065,0.3643518181155724,1.0406910188365075,1.0821339681852613,0.9712509712509713,0.0,0.5016554630279924,0.8622919720617401,2.309646624066518,1.1571395510298543,4.491152429713464,3.545752433119773
