doc_id,series,series_short,year,is_draft,n_words,n_sentences,words_per_sentence,sentence_len_sd,sentence_len_p90,letters_per_word,syllables_per_word,long_words_pct,polysyllable_pct,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog,coleman_liau,ari,mattr,types_per_10k,passive_per_100_sent,questions_per_100_sent,first_plural_per_1k,committee_per_1k,modals_per_1k,deontic_index,must_per_1k,should_per_1k,will_per_1k,may_might_per_1k,hedges_per_1k,boosters_per_1k,nominalisation_pct,acronyms_per_1k,numerals_per_1k,ref_markers_per_1k
SOA-2007,summary-of-advances,SOA,2007,False,4367,263,16.604562737642585,14.806595299140444,36.0,5.3938630638882525,1.7556675062972291,33.340966338447444,19.6702541790703,41.45189778854723,11.60265604198791,14.509926766685155,13.453471979353555,14.133272269292416,12.277376399734962,0.4922885211995863,,15.209125475285171,6.4638783269961975,0.2289901534234028,0.0,10.76253721089993,0.0851063829787234,0.2289901534234028,0.6869704602702084,1.3739409205404167,3.4348523013510417,8.930615983512709,3.4348523013510417,6.686512479963362,32.28761163269979,66.63613464621021,0.0
PA-2008,portfolio-analysis,PA,2008,False,2163,210,10.3,10.806104976442935,29.0,5.516874711049469,1.792417938049006,40.221914008321775,20.758206195099397,44.74194244105411,9.57753166897827,12.42328247803976,11.48240730908423,13.765436893203884,9.704479889043,0.4026826923076923,,10.952380952380953,7.142857142857143,0.0,0.0,10.171058714748035,0.22727272727272727,0.0,1.8492834026814609,1.8492834026814609,0.0,0.0,0.0,7.674526121128063,43.9204808136847,56.40314378178456,0.0
SOA-2008,summary-of-advances,SOA,2008,False,9818,686,14.31195335276968,14.640454854335891,31.0,5.371664290079446,1.7790792422081891,34.43674882868201,20.839274801385212,41.798263456125994,10.98479686563681,14.060491261661959,12.994976906938234,13.717184762680784,11.026515482659029,0.5031353149479558,,13.26530612244898,3.3527696793002915,0.0,0.0,8.759421470767977,0.09302325581395349,0.20370747606437156,0.5092686901609289,0.916683642289672,3.259319617029945,10.592788755347321,1.425952332450601,6.66123446730495,18.639234059889997,92.89060908535343,7.027907924220819
PA-2009,portfolio-analysis,PA,2009,False,7908,538,14.698884758364311,13.291360313349587,35.30000000000001,5.586368234699039,1.8238492665655033,40.31360647445625,21.863935255437532,37.617984018818646,11.663986401235022,14.625128005520736,13.370310541938501,15.034087000505817,12.231236764614628,0.4012484815764611,,14.684014869888475,5.762081784386617,0.0,0.0,6.322711178553364,0.26,0.6322711178553364,0.885179564997471,0.885179564997471,0.6322711178553364,1.770359129994942,1.770359129994942,7.8401618614061706,46.28224582701063,112.29135053110775,0.0
RTC-2009,report-to-congress,RTC,2009,False,21984,1158,18.984455958549223,18.441985781287602,40.0,5.7210243813682675,1.8862809315866085,39.537845705967975,23.580786026200872,27.986410389845474,14.07205281655618,17.026096793900038,15.216228871337957,16.280453056768554,15.00825281551915,0.4438353269723062,1681.5,16.14853195164076,0.5181347150259067,0.3184133915574964,0.0,5.549490538573508,0.10655737704918032,0.2274381368267831,0.04548762736535662,2.183406113537118,1.2281659388646289,3.6844978165938866,1.9104803493449782,8.451601164483261,61.08988355167394,47.03420669577875,0.0
SP-2009,strategic-plan,SP,2009,False,10423,529,19.703213610586012,12.854750913676591,37.0,5.63100834692507,1.8499472320828936,37.340496977837475,23.79353353161278,30.33070235104242,13.923630646706687,17.398698856879516,15.498337834744564,15.808036074066969,14.943656119310084,0.500338371624345,1937.0,20.415879017013232,8.31758034026465,3.262016693850139,0.09594166746618056,16.214141801784514,0.1242603550295858,0.38376666986472224,0.9594166746618056,4.4133167034443055,3.1660750263839583,9.018516741820973,2.014775016789792,7.06130672551089,37.12942530941188,20.53151683776264,2.1107166842559724
SOA-2009,summary-of-advances,SOA,2009,False,5940,273,21.75824175824176,11.615330900447947,34.0,5.287373737373738,1.724915824915825,32.60942760942761,19.225589225589225,38.822505827505864,13.249721019721019,16.393532393532393,14.813237636457913,13.929353535353535,14.352651182151185,0.4842216504319059,,33.333333333333336,0.0,0.0,0.0,10.101010101010102,0.08333333333333333,0.0,0.5050505050505051,1.0101010101010102,4.208754208754209,15.656565656565657,1.851851851851852,5.218855218855219,27.609427609427613,28.114478114478118,3.198653198653199
PA-2010,portfolio-analysis,PA,2010,False,18220,1013,17.986179664363277,16.231962622486225,38.80000000000007,5.681558726673985,1.865642151481888,40.52689352360044,22.65093304061471,30.74570162530358,13.439187456587959,16.254845081991196,14.659847114252102,15.961857299670694,14.323231434816108,0.41112194571412447,1350.0,16.288252714708786,1.8756169792694966,0.10976948408342481,0.38419319429198684,6.970362239297476,0.16535433070866143,0.054884742041712405,0.823271130625686,0.9879253567508233,1.8111964873765094,3.512623490669594,0.32930845225027444,7.563117453347969,26.619099890230515,76.83863885839736,0.0
SP-2010,strategic-plan,SP,2010,False,16347,866,18.876443418013857,13.020138046158527,36.0,5.679880100324218,1.8624212393711383,38.02532574784364,24.273567015354498,30.114573079917648,13.74838355760484,17.26000417334734,15.357561526962304,16.029602985257227,14.760456981533999,0.4876665825340737,1966.0,23.21016166281755,9.468822170900692,2.569278766746192,0.061173303970147426,15.109806080626415,0.22267206477732793,1.284639383373096,1.1011194714626538,2.9363185905670766,3.303358414387961,7.8301829081788705,2.446932158805897,7.077751269346058,33.2782773597602,27.466813482596194,2.875145286596929
SOA-2010,summary-of-advances,SOA,2010,False,7059,430,16.41627906976744,13.206982477260967,34.0,5.424139396515087,1.76625584360391,34.76413089672758,20.725315200453323,40.747232375295255,11.654167791735443,14.856637708088307,13.6664855600837,14.290851395381779,12.325836092469778,0.5139350609756097,,20.46511627906977,3.0232558139534884,0.0,0.2833262501770789,9.916418756197762,0.12857142857142856,0.2833262501770789,0.42498937526561836,1.6999575010624735,2.833262501770789,8.499787505312367,2.2666100014166313,6.1481796288426125,35.69910752231194,31.024224394390142,0.14166312508853945
SP-2011,strategic-plan,SP,2011,False,36616,1614,22.686493184634447,16.027767215148515,43.0,5.397039545553857,1.801234433034739,34.67882892724492,22.167904741096788,31.42377638285714,14.512298651817357,17.941759170292496,15.940333404980073,14.629851431068385,15.333302851875885,0.49026275715037243,2087.6666666666665,23.296158612143742,7.125154894671623,0.9831767533318768,0.4915883766659384,12.753987327944069,0.1948608137044968,0.7373825649989076,1.0377976840725367,2.2121476949967227,3.08608258684728,7.046100065545117,1.7205593183307843,6.904085645619402,31.76207122569369,26.463840943849686,4.943194232029714
SOA-2011,summary-of-advances,SOA,2011,False,6848,414,16.541062801932366,13.025133816884445,34.0,5.472254672897196,1.8030081775700935,35.251168224299064,21.74357476635514,37.51132943360878,12.136510988080726,15.313855027315004,13.963181894985212,14.587371495327101,12.61485091031198,0.5170461489998425,,19.565217391304348,3.3816425120772946,0.0,0.14602803738317757,7.739485981308412,0.11320754716981132,0.14602803738317757,0.14602803738317757,0.5841121495327103,2.9205607476635516,9.63785046728972,1.7523364485981308,7.22838785046729,25.84696261682243,34.17056074766355,0.0
PA-2012,portfolio-analysis,PA,2012,False,39159,2712,14.439159292035399,15.133622646162912,35.0,5.565055287417962,1.8122270742358078,39.05615567302536,21.285017492785823,38.86484283823475,11.42555159987634,14.28967071392849,13.144144775104358,14.872544242702826,12.000990049756304,0.42674433523021216,1383.0,24.520648967551622,0.995575221238938,0.12768456804310632,0.4596644449551827,7.712147909803622,0.23178807947019867,0.15322148165172758,1.0470134579534718,0.9448658035189867,2.4770806200362623,5.413825685027708,0.7405704946500166,7.556372736791031,26.328557930488522,80.84986848489491,0.0
PUBA-2012,publications-analysis,PUBA,2012,False,20583,1390,14.807913669064748,17.326399223027053,36.0,5.859447116552495,1.921488607102949,39.97959481125201,24.836029733275033,29.24703146498979,12.858651894750054,15.857577360935913,14.08461904670581,16.654617888548803,13.571952753494628,0.4403291177056364,1614.0,18.1294964028777,2.0863309352517985,0.24291891366661808,0.2915026963999417,6.072972841665452,0.096,0.09716756546664723,0.38867026186658893,0.5830053927998834,2.040518874799592,6.801729582665306,5.344216100665598,11.023660302191129,26.72108050332799,51.35305834912306,0.048583782733323616
RTC-2012,report-to-congress,RTC,2012,False,38819,1604,24.20137157107232,23.739388717328183,49.0,5.849352121383858,1.928359823797625,40.673381591488706,25.039284886267033,19.131366762082564,16.60318083353018,19.696262582935745,17.19203230756949,17.371119297251344,18.22113427725413,0.4589927974947808,1814.0,15.523690773067331,0.5610972568578554,0.2833663927458204,0.02576058115871094,4.224735310028595,0.10975609756097561,0.10304232463484377,0.12880290579355472,1.6486771941575002,0.9789020840310158,2.1381282361730083,1.1334655709832815,9.34593884438033,22.514747932713362,42.29887426260336,0.0
SP-2012,strategic-plan,SP,2012,False,18417,1171,15.727583262169086,15.414071312134558,38.0,5.521420426779605,1.8223923548895042,36.031927023945265,22.96791008307542,36.697109765246324,12.047987259942094,15.478197338097804,13.986770851100868,14.783908345550302,12.439681841216483,0.5030633999330282,2119.0,23.14261315115286,3.4158838599487615,0.3257859586251833,0.38008361839604715,12.054080469131781,0.2927927927927928,1.3574414942715969,1.3031438345007331,2.280501710376283,2.8234783080849217,7.330184069066624,2.117608731063691,7.438779388608351,26.280067329098117,29.70081989466254,8.198946625400445
SOA-2012,summary-of-advances,SOA,2012,False,8376,423,19.80141843971631,15.713399376768999,42.80000000000001,5.43935052531041,1.7939350525310411,34.407831900668576,22.206303724928368,34.96965483956188,13.30098681135565,16.80308886585787,15.108394015357621,14.688538681948419,14.090050194070187,0.5046977275612543,,22.458628841607567,4.491725768321513,0.11938872970391595,0.2387774594078319,10.864374403056352,0.13186813186813187,0.35816618911174786,0.7163323782234957,1.4326647564469914,3.7010506208213947,9.073543457497612,1.3132760267430754,7.282712511938873,42.97994269340974,38.9207258834766,0.8357211079274116
PA-2013,portfolio-analysis,PA,2013,False,23309,2261,10.309155241043786,13.57588628437351,30.0,5.571195675490154,1.8298940323480202,39.72285383328328,21.330816422840964,41.56217229369807,10.023320125713713,12.6559886655539,11.600598038085586,14.0873962846969,9.964909252080517,0.42793485313459007,1426.5,10.703228659885006,1.8575851393188854,0.08580376678536188,0.6006263674975332,5.791754258011927,0.18518518518518517,0.2574113003560856,0.6006263674975332,0.4290188339268094,2.230897936419409,4.161482689090051,0.6006263674975332,7.898236732592561,31.275472993264405,106.13925951349265,0.0
SP-2013,strategic-plan,SP,2013,False,42867,2181,19.65474552957359,21.60886753320851,42.0,5.491123708213777,1.8084307275993188,36.32864441178529,22.404180371847808,33.892193732580466,13.414833342205664,16.82357036056856,15.117001854226825,14.981809783749732,14.260565430473683,0.47887561367069487,1718.5,34.3878954607978,2.246675836772123,0.2332796790071617,0.5365432617164719,11.64065598245737,0.24448897795591182,0.4665593580143234,1.236382298737957,2.4261086616744816,2.9159959875895214,7.0217183381155674,2.169501014766604,6.856089766020482,23.981151001936222,42.20029393239555,0.0
SOA-2013,summary-of-advances,SOA,2013,False,11615,605,19.198347107438018,16.228034020701248,41.0,5.629358588032717,1.8416702539819199,37.19328454584589,23.013344812742144,31.543374199080006,13.62906436888748,16.884676768072065,15.13699074658069,15.758829100301334,14.683452503353102,0.5050748470672904,2083.0,25.619834710743802,4.958677685950414,0.34438226431338786,0.17219113215669393,7.576409814894533,0.056818181818181816,0.08609556607834697,0.17219113215669393,0.5165733964700818,3.357727077055532,11.106328024106759,1.1192423590185105,7.5850193715023675,40.37882049074473,29.78906586310805,0.08609556607834697
SOA-2014,summary-of-advances,SOA,2014,False,10073,590,17.072881355932203,13.783056787579902,35.0,5.457162712200933,1.7842747940037724,35.26258314305569,21.741288593269136,38.5563778510097,12.122866298058074,15.525667979680538,14.135390905274374,14.55437307654125,12.809677052432498,0.4767641529141425,1918.0,18.64406779661017,4.406779661016949,0.09927529038022437,0.19855058076044874,6.849995036235481,0.10144927536231885,0.09927529038022437,0.39710116152089747,0.6949270326615706,3.0775340017869555,8.041298520798174,0.6949270326615706,6.403256229524471,46.460835897945,40.10721731361065,0.09927529038022437
PA-2015,portfolio-analysis,PA,2015,False,27837,2893,9.622191496716212,15.363259616507623,28.0,5.532600495743075,1.8280705535797679,40.00790315048317,21.252290117469556,42.4137067979847,9.733887215960582,12.349792645674308,11.298399186258738,13.655468620900237,9.439644083307993,0.40463128246396957,1232.5,8.952644313861043,1.520912547528517,0.07184682257427165,0.610697991881309,4.993354168911879,0.17985611510791366,0.25146387900995076,0.5029277580199015,0.610697991881309,1.832093975643927,3.125336781980817,0.6466214031684449,7.9498509178431584,23.601681215648238,135.50310737507633,0.0
SOA-2015,summary-of-advances,SOA,2015,False,11080,626,17.69968051118211,16.46176419491875,41.0,5.502436823104693,1.798826714801444,35.42418772563177,21.498194945848375,36.689084208948,12.539030634018065,15.679150182812194,14.272780392209125,14.881981949458488,13.336317692414163,0.48100103959928175,1854.0,19.64856230031949,4.952076677316294,0.36101083032490977,0.27075812274368233,9.56678700361011,0.29245283018867924,0.09025270758122744,2.1660649819494586,0.18050541516245489,3.1588447653429603,8.393501805054152,1.1732851985559567,7.7797833935018055,38.98916967509025,36.8231046931408,0.0
