,draft,prior SP mean,prior SP sd,prior SP min,prior SP max,z vs prior SP,all prior mean,all prior sd,z vs all prior,group,flag
words_per_sentence,19.185550082101805,21.162622696339085,5.187390393667764,15.319097010372179,28.89240884638374,-0.38113048454010473,17.447175800988017,4.502969422282803,0.38605065193458743,shape,
sentence_len_sd,14.751457422998023,17.638385200507667,4.996959867371172,12.854750913676591,25.142418458945595,-0.5777368348224128,15.51152429814441,3.631898331311633,-0.2092753722188845,shape,
sentence_len_p90,38.0,42.5,8.28078671210825,34.0,56.0,-0.543426627982104,36.9,6.637154373812483,0.16573367712225512,shape,
letters_per_word,6.62105687875972,5.6433857092178386,0.16665245494692005,5.397039545553857,5.898287433464476,5.866527257898942,5.642874544623023,0.16167258334431664,6.0503909438587185,shape,unlike any prior plan
syllables_per_word,2.2079033599060987,1.8609500462976705,0.050768929847292046,1.801234433034739,1.9462921942672,6.833969411055731,1.8496500016518576,0.05462730072063858,6.558137662454379,shape,unlike any prior plan
long_words_pct,49.40700347239204,37.84781390649208,2.150784998190959,34.67882892724492,40.61229212814494,5.374404961733731,38.46202212359565,2.7639093543906057,3.959963929862515,shape,unlike any prior plan
polysyllable_pct,35.42573482662493,24.02091721879348,1.4774128976226917,22.167904741096788,26.43072040202334,7.719451770174046,22.973228153844765,1.7441522705257748,7.139575416214296,shape,unlike any prior plan
flesch_reading_ease,0.5730424186107541,27.91856404643292,8.211745701248017,13.311068705380421,36.697109765246324,-3.330049738835216,32.645726422250014,7.14994452727906,-4.485724872587879,readability,unlike any prior plan
flesch_kincaid_grade,17.945624178911668,14.622633397884758,2.3645933978040676,12.047987259942094,18.468236608855076,1.4053117056458329,13.04026858187725,1.9937894966245133,2.4603177042206252,readability,notable
gunning_fog,21.844513963490698,18.073415966053027,2.3907400059183472,15.478197338097804,21.94868684440125,1.5773768741486767,16.16816158193311,2.1555867776579043,2.6333212099793446,readability,notable
smog,18.022419191896883,15.938643795023989,1.7771042142392874,13.986770851100868,18.791987987173073,1.172567922678008,14.486148699188435,1.67376832010214,2.112759842707891,readability,notable
coleman_liau,21.588986648408085,15.91302822417335,1.1267602964158072,14.629851431068385,17.841178959896848,5.037414295027787,15.570112943730837,1.0886615007563238,5.528691609371477,readability,unlike any prior plan
ari,19.347952940009186,15.731658038585563,3.002128777545422,12.439681841216483,20.57143216610757,1.204576875073411,13.871527005668447,2.47884413029572,2.2092659507749746,readability,notable
mattr,0.5512440059540651,0.4904845839347775,0.010432626790055011,0.47603275224511354,0.5030633999330282,5.823981173869558,0.459240789968323,0.037574728099351994,2.4485397670070896,diversity,unlike any prior plan
types_per_10k,1932.5,1932.1354166666665,132.4740161516859,1718.5,2119.0,0.0027521120286413624,1712.388888888889,261.2982810250895,0.8423748914367191,diversity,
passive_per_100_sent,18.367346938775512,25.121987204701206,9.033386440963211,8.175716900549116,34.96712492528392,-0.7477417588708251,17.464925533185117,7.004632619357187,0.12883208222749165,voice,
questions_per_100_sent,0.30494956603330986,4.12288668378534,3.631323257033857,0.6582040432534085,9.468822170900692,-1.0513900436587966,2.6047120746385453,2.546666904366475,-0.903048021184906,voice,notable
first_plural_per_1k,0.08558712769599452,1.1934123867306008,1.1269054374668062,0.2332796790071617,3.262016693850139,-0.9830685186193701,0.34955624132329655,0.6182952828985142,-0.4269304989516302,voice,
committee_per_1k,0.44016237100797184,0.35220040452892665,0.1879666123626683,0.061173303970147426,0.5575912059901227,0.4679659082716711,0.26110366785149214,0.2036017428500311,0.8794556502808067,voice,
modals_per_1k,17.141879004254903,12.952595252055456,2.877727903865264,7.08937390473156,16.214141801784514,1.4557608961474595,7.975847731388972,3.3484563399697844,2.737390111214245,modality,notable
deontic_index,0.6597717546362339,0.2051115028047667,0.05082213172375347,0.1242603550295858,0.2927927927927928,8.946107461662537,0.13649974300001624,0.07496269315760513,6.980432393698366,modality,unlike any prior plan
must_per_1k,0.5257494987039664,0.7066594086207629,0.435288776176071,0.07965588657001753,1.3574414942715969,-0.41560894702145934,0.2335529209324537,0.318693977054125,0.9168562910176611,modality,
should_per_1k,10.527216706607327,1.0739443374893693,0.3037262544788678,0.39827943285008766,1.3555063312064008,31.124317472448478,0.5696478713344254,0.5239026605300156,19.006524657078756,modality,unlike any prior plan
will_per_1k,0.23230791803198514,2.7573310525394383,0.8361793665765227,1.6329456746853592,4.4133167034443055,-3.0197147112650935,1.2234426706948731,0.9453688945379217,-1.0484105817204148,modality,unlike any prior plan
may_might_per_1k,2.5064801682398397,3.180535360607527,0.8932816791248698,1.871913334395412,5.091414024531359,-0.7545830258469485,2.538453905732997,1.1443727894163056,-0.02793996658157685,modality,
hedges_per_1k,4.756198953391696,7.679245311052176,1.5597751873207195,4.699697307631034,9.736502793665489,-1.8740177311587443,6.635898860576495,3.4651193623595984,-0.5424632489152706,stance,notable
boosters_per_1k,2.628747493519832,2.203921583285381,0.6106747365946038,1.194838298550263,3.1239009454455178,0.6956664240008855,1.4634080260113393,0.9318106429169238,1.2506183271963218,stance,
nominalisation_pct,11.767007384946448,7.551726914409912,0.7724962695949491,6.856089766020482,9.058749628062287,5.456700098690155,7.978559133613436,1.250324693859656,3.0299715505404956,register,unlike any prior plan
acronyms_per_1k,28.91622242871815,27.816606984959062,8.01123758338126,11.042417429827752,37.12942530941188,0.1372591228651316,35.95881166827561,11.47832268778044,-0.6135556066092164,register,
numerals_per_1k,12.65466816647919,26.369843692942027,7.396003284309295,18.958101003664172,42.20029393239555,-1.8544036554931955,49.40999704084329,31.153855414280596,-1.1798003292239665,register,notable
ref_markers_per_1k,0.281214848143982,2.2711723749682395,3.0027463775443066,0.0,8.198946625400445,-0.6627124893750355,0.6919768546570706,1.8076858111747325,-0.22723086278259447,register,
