term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
substance use,7,3,1.2693116704141583,0.2032079765904411,1.809357697533418,2.644111875868149,7.916524040042248
speech-generating devices,7,3,1.2693116704141583,0.2032079765904411,1.815990463237524,2.640992774843236,7.916524040042248
genetic genomics,7,3,1.2693116704141583,0.2032079765904411,1.8165989726120717,2.6407083088496344,7.916524040042248
emerging technology,7,3,1.2693116704141583,0.2032079765904411,1.8172084134171662,2.6404236883245646,7.916524040042248
privacy protection,7,3,1.2693116704141583,0.2032079765904411,1.8178187879063543,2.6401389126490953,7.916524040042248
hrsa nih,6,1,1.087981431783564,0.0677359921968137,2.667424501501017,2.6015242426462875,10.518383463919353
medicaid hcbs,6,1,1.087981431783564,0.0677359921968137,2.7273257911657485,2.576377690772676,10.518383463919353
peer support,6,1,1.087981431783564,0.0677359921968137,2.7273257911657485,2.576377690772676,10.518383463919353
developmental-behavioral pediatrics,6,1,1.087981431783564,0.0677359921968137,2.7324496770254143,2.5742079862980036,10.518383463919353
federal partners,6,1,1.087981431783564,0.0677359921968137,2.7441160924860686,2.569256806125697,10.518383463919353
referral follow-up,6,1,1.087981431783564,0.0677359921968137,2.750681403594143,2.5664637586957304,10.518383463919353
remains limited,6,1,1.087981431783564,0.0677359921968137,2.753324613329495,2.5653378969482357,10.518383463919353
improvement health,6,1,1.087981431783564,0.0677359921968137,2.753324613329495,2.5653378969482357,10.518383463919353
metabolic disorder,6,1,1.087981431783564,0.0677359921968137,2.754649911194832,2.564773096075922,10.518383463919353
federal data,6,1,1.087981431783564,0.0677359921968137,2.754649911194832,2.564773096075922,10.518383463919353
approximately billion,6,1,1.087981431783564,0.0677359921968137,2.754649911194832,2.564773096075922,10.518383463919353
anxiety medication,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
cellular metabolism,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
immune signaling,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
metabolic disease,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
employment day,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
redox imbalance,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
limited communication,6,1,1.087981431783564,0.0677359921968137,2.7559776817946915,2.564207042481421,10.518383463919353
fiscal years,6,2,1.087981431783564,0.1354719843936274,2.0333553315832447,2.5520840723437206,7.897447519432612
basic neuroscience,6,2,1.087981431783564,0.1354719843936274,2.051613395717851,2.54537821422348,7.897447519432612
studies use,6,2,1.087981431783564,0.1354719843936274,2.063114575235165,2.5411891169129586,7.897447519432612
limited speech,6,2,1.087981431783564,0.1354719843936274,2.0647038153845507,2.540612247341416,7.897447519432612
economic cost,6,2,1.087981431783564,0.1354719843936274,2.0668307348442028,2.5398409350392908,7.897447519432612
speaking autistic,6,2,1.087981431783564,0.1354719843936274,2.067363887809483,2.539647719934866,7.897447519432612
intellectually disabled,6,2,1.087981431783564,0.1354719843936274,2.067897611995587,2.5394543492375097,7.897447519432612
