doc_id,series,series_short,year,variant,is_draft,file_name,path,source_url,bytes,backend,error,n_pages,n_pages_kept,ref_cut_page,ref_cut_status,ref_pages_dropped,running_lines_removed,words_raw,n_words,pdf_title,in_analysis
PA-2015,portfolio-analysis,PA,2015,full,False,portfolio_analysis_2015.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2015/portfolio_analysis_2015.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2015/portfolio_analysis_2015.pdf,5089207,pymupdf (cached),,142,142,,no_heading,0,1849,29910,27837,2014-2015 IACC Autism Spectrum Disorder Research - Portfolio Analysis Report,True
PA-2016,portfolio-analysis,PA,2016,full,False,portfolio_analysis_2016.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2016/portfolio_analysis_2016.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2016/portfolio_analysis_2016.pdf,17284885,pymupdf (cached),,95,94,,no_heading,1,238,18670,17834,Portfolio Analysis Report - 2016 IACC Autism Spectrum Disorder Research,True
PA-2018,portfolio-analysis,PA,2018,full,False,portfolio_analysis_2018.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2018/portfolio_analysis_2018.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2018/portfolio_analysis_2018.pdf?ver=4,5657814,pymupdf (cached),,112,111,,no_heading,1,105,22381,21329,2017-2018 Autism Spectrum Disorder Research Portfolio Analysis Report,True
PA-2020-AAG,portfolio-analysis,PA,2020,at_a_glance,False,at-a-glance.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2020/at-a-glance.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2020/at-a-glance.pdf?ver=2,955344,pymupdf (cached),,4,4,,too_short,0,4,880,866,At-a-Glance IACC 2019-2020 Autism Research Portfolio Analysis Report,False
PA-2020,portfolio-analysis,PA,2020,full,False,portfolio_analysis_2020.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2020/portfolio_analysis_2020.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2020/portfolio_analysis_2020.pdf?ver=5,15373714,pymupdf (cached),,124,124,,no_heading,0,480,28394,27446,2019-2020 IACC Autism Research Portfolio Analysis Report,True
PA-2022-AAG,portfolio-analysis,PA,2022,at_a_glance,False,2021-22_AutismPortfolioAnalysisReport_AtAGlance.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport_AtAGlance.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport_AtAGlance.pdf?ver=2,504567,pymupdf (cached),,3,3,,too_short,0,0,687,677,PowerPoint Presentation,False
PA-2022,portfolio-analysis,PA,2022,full,False,2021-22_AutismPortfolioAnalysisReport.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport.pdf?ver=5,19231798,pymupdf (cached),,128,128,,no_heading,0,0,23588,23323,2021-2022 Autism Research Portfolio Analysis Report,True
PUBA-2012,publications-analysis,PUBA,2012,full,False,publications_analysis_2012.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/publications-analysis/2012/publications_analysis_2012.pdf,https://iacc.hhs.gov/publications/publications-analysis/2012/publications_analysis_2012.pdf,5857878,pymupdf (cached),,80,79,,"unverified(before=2,after=24)",1,76,22198,20583,"IACC/OARC Autism Spectrum Disorder Publications Analysis: The Global Landscape of Autism Research, July 2012",True
RTC-2009,report-to-congress,RTC,2009,full,False,report_to_congress_2009.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2009/report_to_congress_2009.pdf,https://iacc.hhs.gov/publications/report-to-congress/2009/report_to_congress_2009.pdf,1343597,pymupdf (cached),,83,73,,no_heading,10,132,26994,21984,Report to Congress on Activities Related to Autism Spectrum Disorders and Other Developmental Disabilities Under the Com,True
RTC-2012,report-to-congress,RTC,2012,full,False,report_to_congress_2012.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/report-to-congress/2012/report_to_congress_2012.pdf,https://iacc.hhs.gov/publications/report-to-congress/2012/report_to_congress_2012.pdf,2660211,pymupdf (cached),,112,100,,no_heading,12,135,46314,38819,Report to Congress on Activities Related to Autism Spectrum Disorder and Other Developmental Disabilities Under the Comb,True
