doc_id,year,content_cosine_to_previous_plan,content_cosine_to_draft,style_delta_to_previous_plan,style_delta_to_draft
SP-2009,2009,,0.15114901159640107,,1.3239533042402614
SP-2010,2010,0.7455066556420802,0.1651364319121751,0.35344832795329156,1.337799756497591
SP-2011,2011,0.7344324442199561,0.19811767410237371,0.5015381308802739,1.131686983466764
SP-2012,2012,0.24331648571668762,0.2109086164535483,0.5730532483533758,1.15780317139236
SP-2013,2013,0.3073327659342617,0.20956500528247893,0.5707933677768484,1.2341307692068277
SP-2017,2017,0.3015587524693884,0.2632175314613337,0.5666507301839002,1.1479113768612363
SP-2019,2019,0.2535022256331888,0.19976419585417854,0.9098566510271504,1.16806453531864
SP-2023,2023,0.25851612873579105,0.2876888198061229,0.902515717574975,1.2193679432896216
SP-2026-DRAFT,2026,0.2876888198061229,,1.2193679432896216,
