# Independent re-checks for the IACC dashboard review

# 1. Headline lexicon claims: plan-mean vs SP-2023 vs draft (notebook cleaned rates)
term,mean_8_plans_per10k,SP_2023_per10k,draft_per10k,x_vs_plan_mean,x_vs_SP2023,share_of_shift_already_in_SP2023
'ASD',156.87,21.16,1.22,0.01,0.06,0.87
person-first 'people with autism',54.77,19.18,2.57,0.05,0.13,0.68
identity-first 'autistic people',9.24,58.68,22.01,2.38,0.38,3.87
'on the spectrum',9.91,32.9,0.0,0.0,0.0,-2.32
women/girls/female,7.95,19.01,0.12,0.02,0.01,-1.41
'IACC',38.0,15.7,4.52,0.12,0.29,0.67
'will',27.57,29.92,2.32,0.08,0.08,-0.09
'should',10.74,13.56,105.27,9.79,7.76,0.03

# 2. Leave-one-out control for the "55 of 80 trends reversed" headline (same rule, raw cached text)
held_out_document,trends_reversed,n_trend_terms,pct
SP-2026-DRAFT,55,80,68.8
SP-2023,43,80,53.8
SP-2019,46,80,57.5
SP-2017,67,80,83.8
SP-2013,80,80,100.0
RTC-2023,33,80,41.2
SOA-2023,39,80,48.8

# 3. Readability of the draft, SP-2023, and this projects own outputs (independent recomputation)
document,words,wps,spw,FRE,FK,long7
2026 draft (raw),108018,20.9,2.2,-0.9,18.6,46.6
SP-2023 (raw),101044,19.5,1.93,24.0,14.8,37.3
critique_memo.md,849,22.3,2.08,7.8,17.7,42.2
dashboard prose,637,18.2,1.81,35.6,12.8,34.5

# 4. Six readability formulas from the notebooks own style_features.csv
doc_id,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog,coleman_liau,ari
SP-2017,17.123272919217897,18.048654093116745,21.541861235969556,18.470981565119676,17.04551130603885,20.146767139123767
RTC-2022,18.058018152209996,17.308449261874532,20.413533253902337,17.696773844283506,17.380483595866355,19.26391165115438
SP-2023,13.31106870538042,18.468236608855076,21.94868684440125,18.791987987173073,17.841178959896848,20.57143216610757
SP-2026-DRAFT,0.5730424186107541,17.945624178911668,21.844513963490694,18.022419191896883,21.588986648408085,19.347952940009183

# 5. Text reuse: recent plans already inherit ~1 percent from their predecessor
doc_id,year,from_previous_plan,from_any_earlier_publication
SP-2009,2009,,0.0126851851851851
SP-2010,2010,0.4065650644783118,0.5277842907385698
SP-2011,2011,0.2786261544920235,0.3106895465994962
SP-2012,2012,0.0154038953579447,0.0311210902824917
SP-2013,2013,0.0190686382696976,0.4014124917236813
SP-2017,2017,0.0112455374851249,0.0444863149543831
SP-2019,2019,0.0589276098161397,0.1940149242249403
SP-2023,2023,0.0094047373186966,0.1465518610894879
SP-2026-DRAFT,2026,0.0001747966532267,0.0002913277553779
